瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),老碍荐樊(mm)
143,措备,2023-04-24,13,8.9,16.3,
143,措备,2023-04-25,9.4,7.5,11.4,6
143,措备,2023-04-26,12.8,6.5,19.5,
143,措备,2023-04-27,14.8,4.4,24.4,
143,措备,2023-04-28,17.7,8.1,26.3,
143,措备,2023-04-29,16.9,11.4,21.7,8.7
143,措备,2023-04-30,16.7,9.6,23.7,
143,措备,2023-05-01,16.5,11.5,22.5,
143,措备,2023-05-02,17.1,6.9,25.9,
143,措备,2023-05-03,18.5,12,25.5,
143,措备,2023-05-04,18.8,15.1,22.9,.5
143,措备,2023-05-05,19,16.8,20.8,44.5
143,措备,2023-05-06,13.7,11.5,19.5,33.9
143,措备,2023-05-07,11.4,9.3,13.6,3.1
143,措备,2023-05-08,13.7,5.7,21.1,
143,措备,2023-05-09,18.5,6.9,27.2,
143,措备,2023-05-10,19.2,11.4,27.5,
143,措备,2023-05-11,18.1,13.4,23.8,
143,措备,2023-05-12,18.8,10.5,26.4,
143,措备,2023-05-13,19.4,16.1,24.5,
143,措备,2023-05-14,20.4,13,27.8,0
143,措备,2023-05-15,21.8,13.5,29.6,
143,措备,2023-05-16,24.6,15.8,33.6,
143,措备,2023-05-17,24.4,16.3,32.7,
143,措备,2023-05-18,18.6,16.2,21.4,5.9
143,措备,2023-05-19,18.3,15.3,22.3,0
143,措备,2023-05-20,20.9,12.3,28.8,
143,措备,2023-05-21,22.7,17,30.2,
143,措备,2023-05-22,17,12.7,20.3,.5
143,措备,2023-05-23,18.4,10.7,27.3,
143,措备,2023-05-24,19.6,12.2,26,
143,措备,2023-05-25,21.3,15.2,28.1,
143,措备,2023-05-26,22,17.6,28.2,0
143,措备,2023-05-27,23.2,19.5,26.9,.2
143,措备,2023-05-28,21.7,19.6,23.3,10.6
143,措备,2023-05-29,20.1,18.6,21.8,100.8
143,措备,2023-05-30,19.5,17.6,21.9,
143,措备,2023-05-31,20.5,16.1,25.5,
143,措备,2023-06-01,18.6,13.8,21.1,.2
143,措备,2023-06-02,23.7,18.5,30.3,.3
143,措备,2023-06-03,23.1,16.4,29.4,
143,措备,2023-06-04,23.9,17.5,29.9,
143,措备,2023-06-05,23.8,17.7,28.7,
143,措备,2023-06-06,24.3,19.4,30.1,
143,措备,2023-06-07,24.1,18.4,29.4,
143,措备,2023-06-08,24.1,20.1,29.3,
143,措备,2023-06-09,24.6,18.6,31,
143,措备,2023-06-10,24.5,18.6,31.5,
143,措备,2023-06-11,24.6,20.3,30.6,
143,措备,2023-06-12,23.3,19.2,29.1,.7
143,措备,2023-06-13,23.8,18.1,30.4,
143,措备,2023-06-14,21.2,16.7,28.7,17.5
143,措备,2023-06-15,20.9,16.2,28.7,
143,措备,2023-06-16,25.3,17.2,32.5,
143,措备,2023-06-17,27.6,20.4,34.2,
143,措备,2023-06-18,26.9,23.2,33.1,
143,措备,2023-06-19,24.4,20.3,30.2,
143,措备,2023-06-20,23,20.1,28.3,
143,措备,2023-06-21,21.4,18.5,23.9,4.6
143,措备,2023-06-22,24.6,20.6,29.1,0
143,措备,2023-06-23,24.8,19.6,31,
143,措备,2023-06-24,24.5,19.4,30.8,
143,措备,2023-06-25,24.2,19.8,30.6,2.2
143,措备,2023-06-26,24.1,20.9,27.3,33.2
143,措备,2023-06-27,27.8,23.4,33.8,48
143,措备,2023-06-28,24.5,19.7,30.2,24.7
143,措备,2023-06-29,25.4,23.6,28.7,8.3
143,措备,2023-06-30,24,22.3,25.7,39
143,措备,2023-07-01,25.8,21.6,31.3,
143,措备,2023-07-02,28.1,23.9,33.5,
143,措备,2023-07-03,27.1,22.5,32.5,
143,措备,2023-07-04,24.9,23.3,29,6.8
143,措备,2023-07-05,27.5,23.4,32.6,16.1
143,措备,2023-07-06,27.5,20.7,34.4,
143,措备,2023-07-07,21.9,18,25.7,43.9
143,措备,2023-07-08,23.1,19.8,27.2,0
143,措备,2023-07-09,26.6,21.8,31.2,
143,措备,2023-07-10,28.3,24.1,33.8,0
143,措备,2023-07-11,24.8,22.9,30,46.5
143,措备,2023-07-12,27.3,23.1,32.4,.2
143,措备,2023-07-13,26.5,25.6,27.4,2
143,措备,2023-07-14,25.6,24.4,27.8,47.7
143,措备,2023-07-15,27,24,29.9,23.7
143,措备,2023-07-16,24.4,22.8,27.8,9.7
143,措备,2023-07-17,26.7,23.1,32.4,13.2
143,措备,2023-07-18,23.7,22.4,24.8,74.2
143,措备,2023-07-19,25.7,22.1,30.3,.1
143,措备,2023-07-20,27.6,22.9,33,
143,措备,2023-07-21,26.7,23.3,31.4,
143,措备,2023-07-22,25.4,21.5,28.1,0
143,措备,2023-07-23,27.5,25.2,30.2,.1
143,措备,2023-07-24,26.6,24.3,30.5,14.5
143,措备,2023-07-25,27.3,24.6,32.2,0
143,措备,2023-07-26,27.2,23.8,33.1,0
143,措备,2023-07-27,27.9,22.8,32.9,0
143,措备,2023-07-28,29.4,24.6,34.5,
143,措备,2023-07-29,30.1,24.8,35.3,
143,措备,2023-07-30,29.8,25,35.5,
143,措备,2023-07-31,29.6,24.7,34.4,
143,措备,2023-08-01,29.7,24.9,34.8,
143,措备,2023-08-02,30,23.9,34.7,
143,措备,2023-08-03,31.5,27,37.7,
143,措备,2023-08-04,30.5,26,34.7,
143,措备,2023-08-05,31.5,25.7,37.2,
143,措备,2023-08-06,30.4,26.4,35.6,
143,措备,2023-08-07,29.5,26.2,34.6,
143,措备,2023-08-08,28.4,25.5,33.2,
143,措备,2023-08-09,25.4,24.6,26.8,41
143,措备,2023-08-10,25.1,22.8,26.6,93.4
143,措备,2023-08-11,27.5,22.2,32.5,
143,措备,2023-08-12,27.1,23.6,31.4,
143,措备,2023-08-13,27.2,23.1,32.6,
143,措备,2023-08-14,26.8,23.6,31.5,
143,措备,2023-08-15,27.5,23,34,
143,措备,2023-08-16,27,23.9,33.3,3.1
143,措备,2023-08-17,25.9,24,28.8,0
143,措备,2023-08-18,25.7,23.6,28.8,1.6
143,措备,2023-08-19,27.3,24.5,31.7,.1
143,措备,2023-08-20,27.3,24.7,33.5,6.3
143,措备,2023-08-21,28.9,24.9,33.7,
143,措备,2023-08-22,28.8,24.5,34,
143,措备,2023-08-23,28.6,24.3,34,15.9
143,措备,2023-08-24,25,22.9,29.4,36.4
143,措备,2023-08-25,27.4,23.8,32.4,.7
143,措备,2023-08-26,26.6,21.5,32.8,
143,措备,2023-08-27,25.5,22.3,30.9,4.7
143,措备,2023-08-28,25.5,23,27.9,
143,措备,2023-08-29,25.7,23.2,28,3.3
143,措备,2023-08-30,24.7,22.3,25.9,54.9
143,措备,2023-08-31,23.3,21.2,25.7,51.4
143,措备,2023-09-01,25.8,23.1,30.2,
143,措备,2023-09-02,24.9,22.5,28.9,1.1
143,措备,2023-09-03,26.6,22.6,31.8,
143,措备,2023-09-04,26.4,22.8,30.6,0
143,措备,2023-09-05,26.1,22.4,30.6,
143,措备,2023-09-06,25.2,20.3,30.9,
143,措备,2023-09-07,23.6,18.1,28.9,
143,措备,2023-09-08,23.3,18.1,29,
143,措备,2023-09-09,23.4,17.3,29.5,
143,措备,2023-09-10,24,17.6,30.9,
143,措备,2023-09-11,25.6,20.3,31.4,
143,措备,2023-09-12,26.1,22.3,30.6,
143,措备,2023-09-13,24.7,22.4,28.4,4
143,措备,2023-09-14,22.6,21.4,24.5,6.7
143,措备,2023-09-15,22.8,21.3,24.9,11.2
143,措备,2023-09-16,23.1,22.2,24.5,25.1
143,措备,2023-09-17,24.6,21.9,27.9,13.2
143,措备,2023-09-18,26.1,22.7,32.8,0
143,措备,2023-09-19,25.2,21.8,29.5,0
143,措备,2023-09-20,22,20.8,24.9,36.6
143,措备,2023-09-21,19.5,18.2,21.2,3.4
143,措备,2023-09-22,21.1,17.8,26.5,
143,措备,2023-09-23,19.9,15.3,25.3,
143,措备,2023-09-24,20.4,15.5,25.3,
143,措备,2023-09-25,21.1,18.1,24.9,.9
143,措备,2023-09-26,20.8,20.1,21.7,17.9
143,措备,2023-09-27,23.8,21,29.2,
143,措备,2023-09-28,23.6,19.6,28.8,
143,措备,2023-09-29,21.8,16.7,26.8,
143,措备,2023-09-30,20,15.7,25.1,3.5
143,措备,2023-10-01,19.2,13.9,24.4,
143,措备,2023-10-02,17.6,11.8,24.3,
143,措备,2023-10-03,16.1,11.6,20.5,.5
143,措备,2023-10-04,19.1,13.7,24.8,
143,措备,2023-10-05,16.7,13.6,21.2,
143,措备,2023-10-06,16.5,10.8,23.2,
143,措备,2023-10-07,17.1,12.3,21.7,
143,措备,2023-10-08,17.3,15.2,20.5,0
143,措备,2023-10-09,18.3,15.6,22.8,1
143,措备,2023-10-10,17.6,13.6,23,
143,措备,2023-10-11,16.2,11.1,23,
143,措备,2023-10-12,16,8.8,23.8,
143,措备,2023-10-13,17.7,12.2,23.2,
143,措备,2023-10-14,17.1,13,24,.2
143,措备,2023-10-15,16.6,12.8,22.4,
143,措备,2023-10-16,16,10.9,21.8,
143,措备,2023-10-17,15,9.7,22.6,
143,措备,2023-10-18,15.1,6.8,24.8,
143,措备,2023-10-19,16.4,10.4,22.7,.8
143,措备,2023-10-20,13.8,10.6,17.9,3.2
143,措备,2023-10-21,12.1,5.5,18.6,
143,措备,2023-10-22,12.6,5.3,19.7,
143,措备,2023-10-23,14.2,8.1,21.8,
143,措备,2023-10-24,14.7,8,23,
143,措备,2023-10-25,15.9,10,24.2,
143,措备,2023-10-26,16.2,9.8,24,
143,措备,2023-10-27,14.7,10.7,19.5,0
143,措备,2023-10-28,13.9,7.5,21,
143,措备,2023-10-29,13.7,7.4,21.8,
143,措备,2023-10-30,14.5,7.7,23.1,
143,措备,2023-10-31,14.9,7.5,24.8,
143,措备,2023-11-01,15.7,7.2,24.3,
143,措备,2023-11-02,17.7,11.8,27.3,
143,措备,2023-11-03,18.6,11.3,26.6,
143,措备,2023-11-04,18.4,14.2,23.7,.1
143,措备,2023-11-05,19.8,16.9,23.3,1.6
143,措备,2023-11-06,18.4,13,22.4,8.2
143,措备,2023-11-07,11.4,6.5,15.7,
143,措备,2023-11-08,9.5,2.1,19,
143,措备,2023-11-09,13.7,5.3,20.9,.1
143,措备,2023-11-10,10.3,5,15.4,10.9
143,措备,2023-11-11,5.9,.6,10.7,
143,措备,2023-11-12,4.8,2.5,8.8,
143,措备,2023-11-13,5.3,1.3,10.2,
143,措备,2023-11-14,7.3,3.4,12.5,
143,措备,2023-11-15,7.4,1.5,14.7,
143,措备,2023-11-16,5.5,2.2,9.7,9.9
143,措备,2023-11-17,6,2.6,10.7,0
143,措备,2023-11-18,3.4,-1.7,8,.7
143,措备,2023-11-19,8.7,.9,15,
143,措备,2023-11-20,8.5,2.6,15.7,
143,措备,2023-11-21,7.3,0,16.6,
143,措备,2023-11-22,9,2.2,18.1,
143,措备,2023-11-23,13.6,7.8,21.6,
143,措备,2023-11-24,3.9,-.2,9.4,
143,措备,2023-11-25,1.3,-2.1,7.6,
143,措备,2023-11-26,4.8,-2.4,10.4,0
143,措备,2023-11-27,8.2,4.6,13.9,.1
143,措备,2023-11-28,6.2,3.4,9.4,
143,措备,2023-11-29,5,1.8,7.9,
143,措备,2023-11-30,.2,-2.2,3.4,
143,措备,2023-12-01,1.2,-1.6,5.5,
143,措备,2023-12-02,3.9,-3.8,10.2,
143,措备,2023-12-03,4.5,-.9,10.5,
143,措备,2023-12-04,3.8,-3.7,12.1,
143,措备,2023-12-05,5.5,-.7,14.1,
143,措备,2023-12-06,5.7,-1.6,11.3,.9
143,措备,2023-12-07,7.6,2.5,13.4,
143,措备,2023-12-08,9.2,-.1,19.8,
143,措备,2023-12-09,12.1,7,20,
143,措备,2023-12-10,11.2,4.6,17.1,
143,措备,2023-12-11,12.4,10.1,13.8,31.2
143,措备,2023-12-12,9.2,7.4,12,.9
143,措备,2023-12-13,8,2.4,12.9,
143,措备,2023-12-14,9.2,6.3,10.9,23.3
143,措备,2023-12-15,8.6,6,10.5,31.5
143,措备,2023-12-16,2.4,-3,7.6,.1
143,措备,2023-12-17,-5.1,-7.2,-1.4,
143,措备,2023-12-18,-2.8,-6.6,0,
143,措备,2023-12-19,.3,-2.6,3.6,
143,措备,2023-12-20,-2.3,-6.6,.6,.1
143,措备,2023-12-21,-6.4,-8.6,-2.6,
143,措备,2023-12-22,-6.4,-9.7,-2.8,
143,措备,2023-12-23,-3.1,-7.7,2,
143,措备,2023-12-24,-1.3,-5.4,4.7,
143,措备,2023-12-25,.2,-4.1,5.6,
143,措备,2023-12-26,1.8,-4.8,9.6,
143,措备,2023-12-27,3.8,-.9,11.3,
143,措备,2023-12-28,3.5,-3,10.6,
143,措备,2023-12-29,3.1,-2.9,9.5,
143,措备,2023-12-30,2.9,-2.9,7.7,.7
143,措备,2023-12-31,4.6,1.4,7.9,1.2
143,措备,2024-01-01,3.9,-1.7,10.2,
143,措备,2024-01-02,6.1,2.5,10.6,
143,措备,2024-01-03,4.1,1.8,7.1,4.2
143,措备,2024-01-04,3,-1.9,9.2,
143,措备,2024-01-05,4.6,-2.5,12.5,
143,措备,2024-01-06,3.7,0,9,
143,措备,2024-01-07,.5,-2.8,2.8,
143,措备,2024-01-08,-1.6,-6.4,4.9,
143,措备,2024-01-09,.2,-5.6,5.7,1.3
143,措备,2024-01-10,2.8,-.1,7.4,0
143,措备,2024-01-11,1.7,-2.9,7.3,
143,措备,2024-01-12,3.7,-1.6,10.3,
143,措备,2024-01-13,2.9,-1.5,8.7,
143,措备,2024-01-14,4.9,-4.5,14.6,.3
143,措备,2024-01-15,2.1,-.9,6.5,
143,措备,2024-01-16,1,-5.2,7.8,
143,措备,2024-01-17,3.3,-1.9,6.7,1
143,措备,2024-01-18,6.3,4.5,7.3,2.7
143,措备,2024-01-19,6,4.9,7.2,0
143,措备,2024-01-20,5.4,3.7,7.4,11
143,措备,2024-01-21,5.5,3.1,8.3,.8
143,措备,2024-01-22,-1.5,-6.4,4.5,.1
143,措备,2024-01-23,-6.2,-8.8,-2.1,
143,措备,2024-01-24,-5,-8.7,-.1,
143,措备,2024-01-25,-2.2,-7,3.7,
143,措备,2024-01-26,1.6,-2.7,7.1,
143,措备,2024-01-27,3,-3.1,9.1,
143,措备,2024-01-28,2,-2.3,6.7,
143,措备,2024-01-29,.4,-5.2,7.8,
143,措备,2024-01-30,2.2,-5.7,11,
143,措备,2024-01-31,7.9,2.7,15.4,0
143,措备,2024-02-01,6.3,3.5,9.1,0
143,措备,2024-02-02,5.4,3.2,9.3,
143,措备,2024-02-03,5.9,4.4,8.4,2.1
143,措备,2024-02-04,5.9,3.9,8.8,1.9
143,措备,2024-02-05,5.4,3.5,6.9,12
143,措备,2024-02-06,3.5,1.2,5.3,0
143,措备,2024-02-07,3.7,.5,8,
143,措备,2024-02-08,2.6,-2.6,9.6,
143,措备,2024-02-09,3.3,-2.3,9.7,
143,措备,2024-02-10,3.8,-1.4,9.2,
143,措备,2024-02-11,3.1,-2.5,8.2,
143,措备,2024-02-12,4.3,-2.8,13.5,
143,措备,2024-02-13,8.3,-.9,18.2,
143,措备,2024-02-14,10.6,5.1,19.2,.8
143,措备,2024-02-15,8.5,3.4,17.8,
143,措备,2024-02-16,4.6,.3,10,
143,措备,2024-02-17,5.8,-2,15.4,
143,措备,2024-02-18,8.2,-1.3,14.5,5.1
143,措备,2024-02-19,14.7,12.3,18.8,14.4
143,措备,2024-02-20,7.5,5.5,13,3.9
143,措备,2024-02-21,5.1,3.6,,4.9
143,措备,2024-02-22,3,2,4.5,1.6
143,措备,2024-02-23,3,1.2,5.5,.3
143,措备,2024-02-24,3.6,1.9,6.4,1.3
143,措备,2024-02-25,4.2,1.5,8.3,1.7
143,措备,2024-02-26,5.1,2.7,9.3,
143,措备,2024-02-27,2.6,-1,6.7,
143,措备,2024-02-28,4.6,-2.4,10.9,
143,措备,2024-02-29,4.1,3.1,5.8,6.8
143,措备,2024-03-01,.5,-4,4,
143,措备,2024-03-02,.5,-5.5,7,
143,措备,2024-03-03,6.3,1,12,0
143,措备,2024-03-04,7.7,-.2,13.9,0
143,措备,2024-03-05,6.6,5.4,9.3,8
143,措备,2024-03-06,6.9,4.8,10,0
143,措备,2024-03-07,5.9,3.6,9.7,0
143,措备,2024-03-08,4.7,1.4,10.2,
143,措备,2024-03-09,3.9,-.6,10.5,
143,措备,2024-03-10,5.4,-2.9,13.9,
143,措备,2024-03-11,8,.9,13.4,
143,措备,2024-03-12,6.7,2.1,12.1,0
143,措备,2024-03-13,7.8,.6,16.1,
143,措备,2024-03-14,9.7,1.6,18.1,
143,措备,2024-03-15,12,1.7,21.1,
143,措备,2024-03-16,14.1,4.4,22.1,0
143,措备,2024-03-17,13.6,8.3,18.8,
143,措备,2024-03-18,9.9,2.7,17.4,
143,措备,2024-03-19,9.9,5.9,16.3,.3
143,措备,2024-03-20,6.7,4,11.1,
143,措备,2024-03-21,6.4,.4,13.1,
143,措备,2024-03-22,10,2,16.1,.2
143,措备,2024-03-23,16,11.1,24.1,.3
143,措备,2024-03-24,10.9,10.1,12.3,.3
143,措备,2024-03-25,9.5,7,12.4,16.2
143,措备,2024-03-26,7.9,5.8,11.1,17.3
143,措备,2024-03-27,10,2.2,17,
143,措备,2024-03-28,9.2,8.2,11,27
143,措备,2024-03-29,13.1,5.1,20.1,
143,措备,2024-03-30,11.3,3.9,18.8,1.3
143,措备,2024-03-31,13.2,8,19.9,
143,措备,2024-04-01,14.6,5.3,24,
143,措备,2024-04-02,15.7,7.4,24.6,2.9
143,措备,2024-04-03,12.1,11.3,13.4,29.4
143,措备,2024-04-04,12.4,10.6,15.7,
143,措备,2024-04-05,14.1,10.6,19.7,
143,措备,2024-04-06,14.6,8.6,21.5,
143,措备,2024-04-07,17,8.5,25.5,
143,措备,2024-04-08,17.9,11.2,23.4,
143,措备,2024-04-09,12.6,8.4,17.4,
143,措备,2024-04-10,12.7,4.7,20.4,
143,措备,2024-04-11,15.1,10,21,
143,措备,2024-04-12,18,10.1,26.2,
143,措备,2024-04-13,19.5,10.8,28.4,
143,措备,2024-04-14,19.7,10.6,28.2,
143,措备,2024-04-15,16.1,15.2,18.3,14.5
143,措备,2024-04-16,18,13.7,23.6,
143,措备,2024-04-17,17,9.5,24.6,
143,措备,2024-04-18,18,10.8,26.7,
143,措备,2024-04-19,20.2,11,28.8,
143,措备,2024-04-20,15.4,13.9,19.1,4
143,措备,2024-04-21,15.5,14.1,17.1,.3
143,措备,2024-04-22,15,12.8,17.7,
143,措备,2024-04-23,14,11.1,17.7,4.5
143,措备,2024-04-24,14.2,10.4,20.7,1.9
143,措备,2024-04-25,18.5,11.6,27,
143,措备,2024-04-26,18.4,12.3,25.5,
143,措备,2024-04-27,20.9,12.1,30.5,
143,措备,2024-04-28,19.3,12.5,28.4,
143,措备,2024-04-29,14.6,13.3,16.1,1.6
143,措备,2024-04-30,16.5,12.3,22.9,1.5
143,措备,2024-05-01,13,9.5,18.1,1.2
143,措备,2024-05-02,15.9,6.6,25.1,
143,措备,2024-05-03,19.2,9.8,28.4,
143,措备,2024-05-04,20.4,10.2,29.3,
143,措备,2024-05-05,18.8,17.4,21.2,12.4
143,措备,2024-05-06,20.1,17.2,24.4,7.6
143,措备,2024-05-07,14.1,10.9,18.4,4.4
143,措备,2024-05-08,13,9.6,17.7,1
143,措备,2024-05-09,16.8,6.9,25.6,
143,措备,2024-05-10,19.9,10.5,29.8,
143,措备,2024-05-11,19.9,12.8,25.1,4.2
143,措备,2024-05-12,19.3,16.4,24.1,5.6
143,措备,2024-05-13,19,11.2,26.1,
143,措备,2024-05-14,20.1,10.7,28.5,
143,措备,2024-05-15,18.4,10.6,27.9,16.7
143,措备,2024-05-16,15.5,8.5,22.4,2
143,措备,2024-05-17,19.1,10,28.4,
143,措备,2024-05-18,21.4,12.1,30.6,
143,措备,2024-05-19,23,14.6,31.5,
143,措备,2024-05-20,21,14.4,29,
143,措备,2024-05-21,17.8,14.5,22.8,
143,措备,2024-05-22,21.7,11.8,30.7,
143,措备,2024-05-23,25.3,18.3,32.5,
143,措备,2024-05-24,21.2,16.8,26.8,
143,措备,2024-05-25,19.6,16.6,23.9,
143,措备,2024-05-26,20.8,14.2,28,4.7
143,措备,2024-05-27,21.5,18.5,24.9,
143,措备,2024-05-28,18.6,13.6,24.4,
143,措备,2024-05-29,20.9,10.4,29.2,
143,措备,2024-05-30,21.6,16.5,27.5,
143,措备,2024-05-31,24,19.5,29.8,
143,措备,2024-06-01,22,17.3,27.5,
143,措备,2024-06-02,20.1,15,26.7,
143,措备,2024-06-03,19.4,16.1,25.4,
143,措备,2024-06-04,19.8,13.1,26.3,
143,措备,2024-06-05,21.4,12.5,28.9,
143,措备,2024-06-06,22,16.2,27.9,
143,措备,2024-06-07,23.9,16.5,30.3,
143,措备,2024-06-08,19.9,18.7,23.2,21.5
143,措备,2024-06-09,23.1,18.7,29.4,1.8
143,措备,2024-06-10,26,18.5,33.4,
143,措备,2024-06-11,27.5,20.6,34.5,
143,措备,2024-06-12,27.9,21.8,33.9,
143,措备,2024-06-13,27.7,21.5,35.6,
143,措备,2024-06-14,27.5,19.6,35.1,
143,措备,2024-06-15,25.4,21.7,32.2,4.3
143,措备,2024-06-16,26.2,21.5,31.5,
143,措备,2024-06-17,24.8,19.2,30,
143,措备,2024-06-18,28.3,19.5,35.4,
143,措备,2024-06-19,29.3,21.4,36.8,
143,措备,2024-06-20,25,21.1,28.8,
143,措备,2024-06-21,26.2,21.2,30.8,
143,措备,2024-06-22,23.4,22.3,24.5,21.2
143,措备,2024-06-23,26.1,23.4,30,.1
143,措备,2024-06-24,26.8,21.8,32.6,
143,措备,2024-06-25,24.8,20.9,29.6,
143,措备,2024-06-26,24.8,19.6,30.8,
143,措备,2024-06-27,22,18.1,26.2,4.7
143,措备,2024-06-28,26,18.2,34.1,
